iter:0/500; best_distance:14830.394704027301;
iter:1/500; best_distance:14830.394704027301;
iter:2/500; best_distance:14830.394704027301;
iter:3/500; best_distance:14830.394704027301;
iter:4/500; best_distance:14830.394704027301;
iter:5/500; best_distance:15402.4882415526;
iter:6/500; best_distance:15930.348511551458;
iter:7/500; best_distance:14520.287959481873;
iter:8/500; best_distance:14838.519382090763;
iter:9/500; best_distance:14838.519382090763;
iter:10/500; best_distance:14521.662807525838;
iter:11/500; best_distance:14521.662807525838;
iter:12/500; best_distance:14701.072064297816;
iter:13/500; best_distance:14654.008017404678;
iter:14/500; best_distance:14654.008017404678;
iter:15/500; best_distance:14654.008017404678;
iter:16/500; best_distance:14654.008017404678;
iter:17/500; best_distance:14654.008017404678;
iter:18/500; best_distance:14654.008017404678;
iter:19/500; best_distance:14654.008017404678;
iter:20/500; best_distance:14654.008017404678;
iter:21/500; best_distance:14654.008017404678;
iter:22/500; best_distance:14701.072064297816;
iter:23/500; best_distance:14238.36658422156;
iter:24/500; best_distance:14238.36658422156;
iter:25/500; best_distance:14238.36658422156;
iter:26/500; best_distance:14238.36658422156;
iter:27/500; best_distance:14238.36658422156;
iter:28/500; best_distance:14180.147770952843;
iter:29/500; best_distance:14232.266124706342;
iter:30/500; best_distance:14037.681786683668;
iter:31/500; best_distance:14037.681786683668;
iter:32/500; best_distance:14002.627137157535;
iter:33/500; best_distance:14153.59655274827;
iter:34/500; best_distance:14127.558420383062;
iter:35/500; best_distance:14127.558420383062;
iter:36/500; best_distance:14127.558420383062;
iter:37/500; best_distance:14127.558420383062;
iter:38/500; best_distance:14127.558420383062;
iter:39/500; best_distance:13952.911755210378;
iter:40/500; best_distance:13404.826740399589;
iter:41/500; best_distance:13404.826740399589;
iter:42/500; best_distance:13404.826740399589;
iter:43/500; best_distance:13404.826740399589;
iter:44/500; best_distance:13404.826740399589;
iter:45/500; best_distance:13404.826740399589;
iter:46/500; best_distance:13404.826740399589;
iter:47/500; best_distance:13404.826740399589;
iter:48/500; best_distance:13404.826740399589;
iter:49/500; best_distance:13137.9200701471;
iter:50/500; best_distance:13404.826740399589;
iter:51/500; best_distance:13404.826740399589;
iter:52/500; best_distance:13404.826740399589;
iter:53/500; best_distance:13404.826740399589;
iter:54/500; best_distance:13325.827775474969;
iter:55/500; best_distance:13325.827775474969;
iter:56/500; best_distance:13404.826740399589;
iter:57/500; best_distance:13404.826740399589;
iter:58/500; best_distance:13404.826740399589;
iter:59/500; best_distance:13404.826740399589;
iter:60/500; best_distance:13404.826740399589;
iter:61/500; best_distance:13404.826740399589;
iter:62/500; best_distance:13404.826740399589;
iter:63/500; best_distance:13404.826740399589;
